X.1,X,file,dataset,genotype,plant,px_cm,base_x,base_y,tip_x,tip_y,L_x,L_y,R_x,R_y,M_x,M_y,PC1,PC2,width,length,area,solidity,asymmetry,circ,ar,number_seeds,see_weight_mg,lateral_shoots,left_angle,right_angle,paper_genotype,seeds_per_fruit,seed_weight_fruit
153,153,6C_17_30_set3_rep3_fruit7.jpg,30,Magnolia6,ap,500,486,175,31.5,170.5,113,261,123.5,76.5,231.5,147.5,-0.001255755,0.1179508275260808,0.5733536382241939,0.9132896672135574,0.3332232607486798,0.9326436821715705,0.0123142997904011,0.6606540181631334,0.6284648899752545,0,0,3,37.20517189402458,39.881412072510884,MI_30,0,0
154,154,6C_17_30_set3_rep3_fruit8.jpg,30,Magnolia6,ap,500,463,190,28.5,181.5,109,277,117.5,73.5,240.5,164.5,-0.012725972,0.1164881443681397,0.6030386118815498,0.9126879692064032,0.3741263145614226,0.9583628585942148,0.0116165409092804,0.7501480732313466,0.6602718534212573,0,0,3,35.962765492902584,41.080083634852926,MI_30,0,0
155,155,6C_17_30_set3_rep3_fruit9.jpg,30,Magnolia6,ap,500,484,111,29.5,107.5,76,166,80.5,44.5,150.5,93.5,0.2911376036804087,0.055373779,0.3498620843944104,0.9086524352208896,0.1684704798866718,0.8418511089101504,0.0105877009317005,0.3868814669052102,0.384497261,0,0,3,37.62059669696765,41.59193718047253,MI_30,0,0
156,156,6C_8_20_set4_rep1_fruit1.jpg,20,Magnolia6,aq,300,484,137,38.5,128.5,44,218,39.5,36.5,152.5,121.5,0.2588996986272566,-0.049036555,0.7118674625846734,1.5108302188579643,0.4562848307692366,0.7475547373999492,0.0212252102660099,0.3657124503956227,0.4745229033098285,638,60,8,38.13617334189355,40.464688558930455,MI_30,21.266666666666666,2
157,157,6C_8_20_set4_rep1_fruit2.jpg,20,Magnolia6,aq,300,484,165,48.5,160.5,43,275,37.5,34.5,188.5,144.5,0.063405016,-0.024801094,0.9239053787252242,1.5139745237921425,0.7435178034744112,0.8832253103698754,0.0148826795566976,0.5058961270811804,0.6104500986135554,638,60,8,35.36935759485225,42.592272159728914,MI_30,21.266666666666666,2
158,158,6C_8_20_set4_rep1_fruit3.jpg,20,Magnolia6,aq,300,481,148,29.5,143.5,46,250,43.5,38.5,176.5,135.5,0.1915171549928487,-0.042242982,0.8214245725100261,1.5178763209578063,0.5973263237529665,0.8255144556475787,0.004831218,0.424366785,0.5406381465867007,638,60,8,38.14847588191622,39.219207790242194,MI_30,21.266666666666666,2
159,159,6C_8_20_set4_rep1_fruit4.jpg,20,Magnolia6,aq,300,485,148,39.5,127.5,45,225,45.5,29.5,178.5,113.5,0.2183766608495441,-0.011293491,0.7613298223843833,1.519876446767871,0.5101481975738569,0.776970612,0.0100588268625733,0.3907575380620902,0.5037830467757215,638,60,8,34.117432626737696,38.027046404943626,MI_30,21.266666666666666,2
160,160,6C_8_20_set4_rep1_fruit5.jpg,20,Magnolia6,aq,300,38,181,455.5,149.5,451,37,473.5,271.5,315.5,160.5,0.06683805,-0.019407874,0.915364933,1.485489303485878,0.7518685971191843,0.916911477,0.009749509,0.5499685063942336,0.6179889329617456,638,60,8,37.8546848947576,39.58183667976067,MI_30,21.266666666666666,2
161,161,6C_8_20_set4_rep1_fruit6.jpg,20,Magnolia6,aq,300,27,170,470.5,161.5,458,40,472.5,294.5,324.5,179.5,0.041869703,0.020176298,0.982123048,1.5174139498248154,0.853850636,0.9246511140338984,0.0271019532362983,0.5563072454386028,0.6466820340993416,638,60,8,39.23064896822566,44.876568577305186,MI_30,21.266666666666666,2
162,162,6C_8_20_set4_rep1_fruit7.jpg,20,Magnolia6,aq,300,479,165,44.5,151.5,41,279,48.5,36.5,198.5,146.5,0.085626545,-0.069625225,0.9206338306400302,1.518810053572868,0.6803130565182975,0.8520795173023715,0.0135402063850712,0.453614348,0.6023422380771851,638,60,8,38.21329071360543,38.11343707619036,MI_30,21.266666666666666,2
163,163,6C_8_20_set4_rep1_fruit8.jpg,20,Magnolia6,aq,300,479,183,61.5,152.5,34,268,67.5,30.5,203.5,153.5,0.087051946,-0.014677048,0.9269179066498636,1.485361519347682,0.7722126179338531,0.895152519,0.004428421,0.5433924403949921,0.6196089624549687,638,60,8,34.44314928902366,41.72307676734773,MI_30,21.266666666666666,2
164,164,6C_8_20_set4_rep1_fruit9.jpg,20,Magnolia6,aq,300,39,159,460.5,149.5,480,263,439.5,31.5,304.5,169.5,0.077902608,-0.008343426,0.9285453258176294,1.4820100881383709,0.7698093980864691,0.9007674680400846,0.0149470605166183,0.555327549,0.6370087386984071,638,60,8,35.352823110598735,38.32383907509944,MI_30,21.266666666666666,2
165,165,6C_8_20_set4_rep3_fruit1.jpg,20,Magnolia6,ar,300,481,161,52.5,156.5,40,276,42.5,37.5,192.5,140.5,0.1125096327774954,-0.036402856,0.8942694809896033,1.5176001548482232,0.730887041,0.8735533708420078,0.008618458,0.494946849,0.589448543,533,40,7,35.1020755090488,40.99589010960969,MI_30,17.766666666666666,1.3333333333333333
166,166,6C_8_20_set4_rep3_fruit10.jpg,20,Magnolia6,ar,300,484,160,55.5,151.5,40,286,50.5,36.5,209.5,160.5,0.066892034,-0.040575194,0.9366655909006618,1.5076757695503982,0.7503185778219112,0.8790275067618197,0.00437392,0.5301599789512802,0.6147454357489722,533,40,7,39.86137788337622,34.605099422860995,MI_30,17.766666666666666,1.3333333333333333
167,167,6C_8_20_set4_rep3_fruit2.jpg,20,Magnolia6,ar,300,484,154,46.5,142.5,42,258,43.5,36.5,175.5,132.5,0.179415566,-0.035513221,0.8193835121543841,1.5133038389548812,0.5957130566827011,0.8239710856047294,0.008877084,0.4362768049457077,0.5444857626087609,533,40,7,38.798140225263516,40.460041853793456,MI_30,17.766666666666666,1.3333333333333333
168,168,6C_8_20_set4_rep3_fruit3.jpg,20,Magnolia6,ar,300,487,127,52.5,133.5,36,236,44.5,32.5,174.5,129.5,0.1630018849798409,-0.068194255,0.7687821071441444,1.525131069430233,0.5489861930943896,0.7939794577512628,0.0246147189404325,0.4104979164857507,0.5037755739868393,533,40,7,35.68071706297091,38.60647875931092,MI_30,17.766666666666666,1.3333333333333333
